Company_Name,Monthly_Visits,Price_Category,Avg_Tour_Price,Current_Monthly_Revenue,Additional_Monthly_Revenue,Additional_Annual_Revenue,Annual_OTA_Loss,Setup_Fee,Monthly_Fee,Total_Year_1_Cost,Total_Annual_Benefit,ROI_Percentage,Payback_Months,Profitable_Year_1
Carpe Diem Rochester,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
BYOkids ..your family travel gurus,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Bilbao Paso a Paso,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
De Reisbeleving,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Exclusive France Holidays,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
"Connoisseur Travel, Ltd.",2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Bergmenn Mountain Guides,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Emerald Travel,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
AllTravel - DMC and Transfer Agency,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Compagnie Internationale de Croisières - Un Océan de Croisières,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Celebrated Experiences,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
ESPRESSAMENTE VIAGGI E TURISMO S.R.L.,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
FAIRFLIGHT Touristik GmbH,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Association of Canadian Mountain Guides,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
AdventureSmith Explorations,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
"A Room With A View Travel, LLC",2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Canadian Vacation Homes,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Atlantis Mara Travel Service,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Adria Mare Travel Agency,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Eggental Tourismus | Val d'Ega Turismo,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Afrikarma Safaris,2000,mid_range,90.0,3600.0,1439.999999999999,17279.99999999999,6480.0,3800,150,5600,18899.99999999999,337.49999999999983,3.5555555555555576,True
Aquila Travel,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
3 Zinnen Dolomites Ski Resort,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
AutoVenture,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
CG Villas | Destination Management · Event Planning · Real Estate,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Breezy Point Resort,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Bergbahnen Flumserberg AG,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Currie & Co. Travels Unlimited,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Direct Traveller,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Baviera Golf,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Deviaje life&travel,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Explore Tours Perth,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
BIRDIE GOLF HOLIDAYS,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Dream Vacations,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Distinct Destinations Travel Agency,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Dillon Marina,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Apuliabooking,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Descent Travel,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
FARAH TOUR & TRAVEL (FTT),2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
AMSLAV TOURISME,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
"Ermisch Travel of Battle Creek, Inc.",2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Air Land & Sea Travel Agency,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Artisans of Leisure,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Elias Tours ltd,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Avocet Holidays,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
EYOS,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Estiber,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Boca Express Travel,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Alumni Travel,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
"Experience Burnsville, Minnesota",2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Edel & Stark Group - Luxury Car Hire in Europe and UAE,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,1530.0,3800,150,5600,8542.499999999995,152.54464285714275,7.866549604916599,True
Alura Boutique Hotel,2000,mid_range,90.0,3600.0,1439.999999999999,17279.99999999999,6480.0,3800,150,5600,18899.99999999999,337.49999999999983,3.5555555555555576,True
Enmarbg,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
Adventure Consultants,2000,budget,42.5,1700.0,679.9999999999995,8159.9999999999945,3060.0,3800,150,5600,8924.999999999995,159.37499999999991,7.529411764705887,True
